Date,Close_Price,Ticker,Volatility_30d
2025-06-26,68.72,PKO.WA,2.56
2025-06-27,68.76,PKO.WA,2.44
2025-06-30,70.16,PKO.WA,2.36
2025-07-01,69.23,PKO.WA,2.33
2025-07-02,70.35,PKO.WA,2.31
2025-07-03,72.25,PKO.WA,2.41
2025-07-04,71.73,PKO.WA,2.48
2025-07-07,71.74,PKO.WA,2.56
2025-07-08,73.2,PKO.WA,2.68
2025-07-09,74.02,PKO.WA,2.81
2025-07-10,72.36,PKO.WA,2.8
2025-07-11,72.62,PKO.WA,2.87
2025-07-14,72.9,PKO.WA,2.97
2025-07-15,73.22,PKO.WA,3.09
2025-07-16,73.59,PKO.WA,3.2
2025-07-17,75.2,PKO.WA,3.38
2025-07-18,76.67,PKO.WA,3.58
2025-07-21,75.1,PKO.WA,3.59
2025-07-22,74.41,PKO.WA,3.59
2025-07-23,74.49,PKO.WA,3.65
2025-07-24,76.72,PKO.WA,3.79
2025-07-25,76.82,PKO.WA,3.88
2025-07-28,74.93,PKO.WA,3.8
2025-07-29,76.52,PKO.WA,3.76
2025-07-30,77.19,PKO.WA,3.72
2025-07-31,76.82,PKO.WA,3.59
2025-08-01,75.68,PKO.WA,3.4
2025-08-04,76.72,PKO.WA,3.03
2025-08-05,76.48,PKO.WA,2.91
2025-08-06,79.4,PKO.WA,2.77
2025-08-07,81.5,PKO.WA,2.92
2025-08-08,83.52,PKO.WA,3.18
2025-08-11,82.88,PKO.WA,3.37
2025-08-12,83.38,PKO.WA,3.49
2025-08-13,85.14,PKO.WA,3.73
2025-08-14,83.28,PKO.WA,3.87
2025-08-18,82.5,PKO.WA,3.9
2025-08-19,82.94,PKO.WA,3.92
2025-08-20,82.58,PKO.WA,3.95
2025-08-21,83.74,PKO.WA,4.04
2025-08-22,73.5,PKO.WA,3.99
2025-08-25,74.46,PKO.WA,3.92
2025-08-26,74.3,PKO.WA,3.86
2025-08-27,73.78,PKO.WA,3.84
2025-08-28,73.2,PKO.WA,3.85
2025-08-29,71.0,PKO.WA,4.04
2025-09-01,70.12,PKO.WA,4.28
2025-09-02,71.14,PKO.WA,4.42
2025-09-03,71.62,PKO.WA,4.52
2025-09-04,73.6,PKO.WA,4.55
2025-09-05,71.26,PKO.WA,4.69
2025-09-08,72.86,PKO.WA,4.76
